Price,Location,Room,Bath Room,Area
3.85 Crore,"Bahria Enclave, Bahria Town",5,6,8 Marla
5.1 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
5.1 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,10 Marla
6.25 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
5 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,5,11 Marla
9.95 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
13.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
13.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
11 Crore,"Eighteen, Kashmir Highway",,,1 Kanal
5.45 Crore,"G-9/4, G-9",4,4,6.6 Marla
1.1 Arab,"F-7/3, F-7",,,4 Kanal
12.45 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
5.5 Crore,"I-11/2, I-11",6,5,8 Marla
3.5 Crore,"G-13, Islamabad",4,4,4 Marla
4.1 Crore,"G-13, Islamabad",4,4,4 Marla
5.6 Crore,"G-13, Islamabad",4,4,7 Marla
3.2 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,5,7 Marla
11.9 Crore,"I-8/3, I-8",7,7,13.2 Marla
10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
3.1 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3,3,5.6 Marla
5.3 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
5.25 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
6.5 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
1.25 Crore,"Bani Gala, Islamabad",2,3,5 Marla
5.1 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3.5 Crore,"G-13/1, G-13",,,4.4 Marla
7.85 Crore,"DHA Defence Phase 2, DHA Defence",5,6,10 Marla
10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
3.25 Crore,"G-13/1, G-13",,,4.4 Marla
8 Crore,"DHA Defence Phase 5, DHA Defence",5,7,10 Marla
12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
28 Crore,"F-8, Islamabad",5,6,1.2 Kanal
16.5 Crore,"I-8, Islamabad",6,6,14 Marla
24 Crore,"I-8/3, I-8",8,6,1.2 Kanal
11.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
1.47 Crore,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3,3,8 Marla
14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
4.09 Crore,"Gulberg Residencia - Block F, Gulberg Residencia",5,5,7 Marla
8 Crore,"E-11, Islamabad",6,6,10 Marla
6 Crore,"G-10, Islamabad",5,5,7 Marla
11.9 Crore,"DHA Phase 2 - Sector B, DHA Defence Phase 2",6,7,1 Kanal
13.9 Crore,"DHA Phase 2 - Sector E, DHA Defence Phase 2",6,7,1 Kanal
1.2 Crore,"Burma Town, Islamabad",6,6,4 Marla
47 Lakh,"Khanna Pul, Islamabad",2,2,2 Marla
70 Crore,"F-8/2, F-8",7,7,4 Kanal
8.25 Crore,"Naval Anchorage - Block K, Naval Anchorage",8,7,1 Kanal
10 Crore,"Bahria Enclave - Sector C, Bahria Enclave",7,6,1 Kanal
10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
11.9 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
12 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
12 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
14 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
11.5 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
11.5 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
2.8 Crore,"MPCHS - Multi Gardens, B-17",4,6,5 Marla
7.5 Crore,"Top City 1 - Block B, Top City 1",6,7,1 Kanal
5.75 Crore,"D-12, Islamabad",4,4,5 Marla
11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
4.8 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
26.5 Crore,"D-12, Islamabad",7,7,1 Kanal
1.3 Crore,"Ghauri Town Phase 5A, Ghauri Town",3,4,5 Marla
9.95 Crore,"DHA Defence Phase 2, DHA Defence",7,6,1 Kanal
2.6 Crore,"Soan Garden - Block B, Soan Garden",2,3,9.3 Marla
4.7 Crore,"G-14/4, G-14",4,5,4 Marla
4.15 Crore,"D-12/4, D-12",4,4,4 Marla
9.75 Crore,"D-12/4, D-12",5,5,7 Marla
6.75 Crore,"D-12/3, D-12",3,3,4 Marla
3.5 Crore,"Fazaia Housing Scheme, Tarnol",5,6,10 Marla
3.25 Crore,"Fazaia Housing Scheme Block E, Fazaia Housing Scheme",3,4,12 Marla
22.75 Crore,"F-6/1, F-6",5,5,1.1 Kanal
4.3 Crore,"Soan Garden - Block H, Soan Garden",6,6,10 Marla
13.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3.5 Crore,"MPCHS - Block E, MPCHS - Multi Gardens",4,6,8 Marla
13.5 Crore,"DHA Phase 2 - Sector B, DHA Defence Phase 2",5,6,1 Kanal
12.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
14.5 Crore,"DHA Defence Phase 2, DHA Defence",8,6,1 Kanal
9.95 Crore,"Bahria Enclave - Sector B2, Bahria Enclave",5,6,1 Kanal
9 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,1 Kanal
12 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,1 Kanal
7.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,10 Marla
13.5 Crore,"DHA Defence Phase 2, DHA Defence",,,1 Kanal
12 Crore,"D-12/2, D-12",6,7,10 Marla
2.5 Crore,"Faisal Town - F-18, Islamabad",5,5,5 Marla
5.75 Crore,"D-12/1, D-12",5,6,5 Marla
